ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM Discapacidad,IVM Educación,IVM Habitabilidad,IVM Familiar,IVM Participación,IVM CSE Familia,IVM CSE Comunal
22758,7,LICEO BICENTENARIO COMPLEJO EDUCACIONAL IGNAO,Municipal DAEM,Urbano,14,142,14203,Lago Ranco,155,44.0075019067156,31,34,46,44,50.5283412107757,4.30438085582972,13.0913957725322,21.5411668066986,29.4371260007721,0.210142124630767,56.7242356398596,49.5631065766722
22759,5,MASTER COLLEGE,Particular Subvencionado,Urbano,14,141,14101,Valdivia,216,43.6527179669064,36,54,75,51,52.08254145824,3.68251654456926,13.0882223652272,20.3852269514045,32.5448170349442,1.06445158206877,50.6199696370364,14.5717178836853
22766,8,COLEGIO SAN MARCOS,Particular Subvencionado,Urbano,14,141,14101,Valdivia,46,43.3991201834587,12,9,12,13,51.0624518308616,5.57584960753715,11.8547270128158,21.613787016708,32.4088567336116,2.25785639516258,47.0613286476811,14.5717178836853
24206,3,CENTRO INTEGRAL DE EDUCACIÓN ALBORADA,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,374,40.8195057523834,114,103,101,56,47.1121504500808,5.39252266053678,11.6256176561631,20.6707232276333,30.7491901278888,0.742036535618737,46.3251627388119,12.5964745169533
24209,8,COLEGIO SAGRADA FAMILIA,Particular Subvencionado,Urbano,11,112,11201,Aysén,142,40.7545793451414,47,39,34,22,43.8840079074744,4.71455806929666,12.2157518612931,19.9282762141761,33.4125559749338,2.231707269151,46.4022846008226,15.9517021640702
24210,1,ESCUELA MADRE DE LA DIVINA PROVIDENCIA,Servicio Local de Educación(SLE),Rural,11,112,11202,Cisnes,157,39.9348635271618,0,2,0,0,47.9055178453098,0.0,9.86777223594582,25.1800523787264,15.0543576878324,1.62860146588844,38.1769273617551,24.1634992469853
24212,8,COLEGIO ALIANZA AUSTRAL DE COYHAIQUE,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,248,38.0285433837657,103,67,58,20,43.9133913582006,0.0,9.79246434268869,20.6641167595182,29.0543369983909,2.7911534729362,32.109830098281,12.5964745169533
24213,6,LICEO BICENTENARIO SANTA TERESA DE LOS ANDES,Particular Subvencionado,Urbano,11,112,11201,Aysén,148,38.5757208331144,54,48,25,21,46.3152593520647,2.67178090288487,9.41367782384454,19.6690481438914,29.9587013642404,1.34202556207738,36.4334803306804,15.9517021640702
24214,4,ESCUELA ALTAMIRA DE COYHAIQUE,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,236,40.8941347824498,68,71,58,39,49.3041495098955,0.608097110395302,10.6129412196816,20.6083213496519,30.0809662463792,1.62860146588844,40.4713561935685,12.5964745169533
24216,0,ESCUELA BASICA DE CHILE CHICO,Servicio Local de Educación(SLE),Rural,11,114,11401,Chile Chico,217,44.3021843537497,37,56,63,61,46.9681832230965,1.561910099909,10.2647773205391,20.7052389752307,34.2006909704601,4.93256388267883,51.8077749535931,25.5454779919999
24218,7,ESC.NUESTRA SRA DE LA DIVINA PROVIDENCIA,Particular Subvencionado,Rural,11,112,11202,Cisnes,157,44.2465874394495,0,0,1,0,31.9370118968732,28.2445409733544,8.63515327428113,19.3349642097251,31.2077213438429,0.0,60.6092365913456,24.1634992469853
24224,1,COLEGIO ANTOINE DE SAINT EXUPERY,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,151,41.0611309661888,45,44,41,21,45.9517186108625,3.87240809880837,9.60523406088528,21.4848113750076,31.2507731243348,1.68878404476719,45.1607916427864,12.5964745169533
24226,8,COLEGIO EL CAMINO DE LA FUENTE,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,354,40.2593600706457,114,102,91,47,47.5824269659675,3.76937306583959,9.34330223522883,20.2585579661527,32.5202296369082,1.24633994824002,41.4443345826498,12.5964745169533
24229,2,ESCUELA LITORAL AUSTRAL,Servicio Local de Educación(SLE),Urbano,11,112,11201,Aysén,242,41.4670855154037,67,59,65,51,40.0440729024429,3.87989459372005,10.3220215125537,20.6039128069659,34.5526583434141,0.790152889346942,52.0692898093759,15.9517021640702
24230,6,COLEGIO KALEM BICENTENARIO,Particular Subvencionado,Urbano,11,112,11201,Aysén,279,40.1904462038396,94,75,73,37,50.5352626142561,3.96456460334717,9.63723288916316,20.6930117968087,29.3885705736273,0.168163801923755,42.7568504909732,15.9517021640702
24231,4,COLEGIO DIEGO PORTALES,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,102,43.7781827754791,21,26,26,29,51.4169199786609,2.79150610705944,10.1099809959649,20.9654568778363,33.0198931730813,2.09843142049466,46.6338239795095,12.5964745169533
24233,0,LICEO FRANCISCO XAVIER BUTINA,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,117,42.812838996934,26,38,25,28,45.8810677017224,4.36487137356323,11.2987053294159,22.5386387107041,32.2693280278211,1.92608095428029,49.2730881852011,12.5964745169533
24236,6,COLEGIO CAMPO DE HIELO,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,123,45.6151309210886,15,37,29,42,40.032608441548,6.59097520899917,10.6209928365914,21.4672349649126,38.4322568162818,4.86092882004502,59.8739225830001,12.5964745169533
24243,8,COLEGIO CRISTIANO SEMBRADORES,Particular Subvencionado,Urbano,11,111,11101,Coyhaique,109,42.5021610496593,25,34,28,22,42.3876302388526,3.90785621822784,9.22824107680437,21.1227885925371,32.4856430088305,3.37363321327132,52.807289287888,12.5964745169533
24302,7,ESCUELA GENERAL MANUEL BULNES P.,Servicio Local de Educación(SLE),Urbano,12,121,12101,Punta Arenas,171,44.5147134855271,31,35,52,53,45.9491924561579,9.12464557364941,11.907644064686,20.6416656706411,30.5349807814788,10.4731125450125,52.6704237838026,7.94640993492844
24305,1,COLEGIO PIERRE FAURE,Particular Subvencionado,Urbano,12,121,12101,Punta Arenas,168,41.5254720287957,46,53,34,35,52.8119115464317,3.71231020595426,13.1885707262865,20.0478183090265,32.7545991056546,0.505814303817894,40.8416359074982,7.94640993492844
24307,8,LICEO JUAN BAUTISTA CONTARDI,Servicio Local de Educación(SLE),Urbano,12,121,12101,Punta Arenas,275,39.6355453124141,89,91,61,34,51.3758145091193,5.87928536378457,12.2997717517169,20.2187750302241,28.7913333493854,0.632123520292841,40.3817294981413,7.94640993492844
24311,6,COLEGIO FRANCES,Particular Subvencionado,Urbano,12,121,12101,Punta Arenas,118,42.7502642874937,21,44,28,25,48.2314076881996,2.15424465051008,13.9591702321707,20.355058006029,32.8336492778275,0.745292196254034,50.6379461777281,7.94640993492844
24313,2,ESCUELA VILLA LAS NIEVES,Servicio Local de Educación(SLE),Urbano,12,121,12101,Punta Arenas,249,41.9709539063085,60,74,60,55,48.2751253205389,1.76278912321387,23.0481909193187,20.7168065010911,32.5816267708843,2.25360855150622,43.8546304586701,7.94640993492844
24317,5,COLEGIO PUERTO NATALES,Particular Subvencionado,Urbano,12,124,12401,Natales,132,39.4915416441486,48,31,34,19,47.0585544080207,1.49781656676879,11.8263260107416,19.6364157105309,32.0185829349776,2.11255591146827,36.8530433292559,16.6023301310884
24318,3,ESCUELA PADRE ALBERTO HURTADO CRUCHAGA,Servicio Local de Educación(SLE),Urbano,12,121,12101,Punta Arenas,252,43.9569612274026,49,56,80,67,44.4279956416167,3.44118663751431,14.3452924327482,20.0878970912803,36.5415757001179,2.85824231403656,53.9875893305273,7.94640993492844
