ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM CSE Familiar,IVM Estimulación y Apoyo,IVM Familia,IVM CSE Comunal,IVM Derechos
14918,7,ESC. PARVULOS ANTUKAMEL,Particular Subvencionado,Urbano,5,54,5402,Cabildo,54,51.1714642509764,4,4,2,2,30.4032595624583,39.2424945631429,38.4948336603982,65.6275152013228,27.7678970311946,4.03769532105322
14922,5,COLEGIO LAS ACACIAS,Particular Subvencionado,Urbano,5,51,5101,Valparaíso,21,50.8722236057741,7,2,8,4,25.0478361596098,40.6730618902886,42.1760619714004,66.6192347292194,5.22404497318231,7.06915923107803
14927,6,ESCUELA ESPECIAL DE LENGUAJE DEL SOL,Particular Subvencionado,Urbano,5,58,5801,Quilpué,54,48.2970367497255,8,7,2,1,22.2709393406511,35.2162014080319,39.9205548745918,68.3449959572157,4.55186745341812,0.0
14928,6,ESCUELA ESP.DE LENGUAJE TIERRA MADRE,Particular Subvencionado,Urbano,5,58,5804,Villa Alemana,37,51.2008836418345,14,7,12,4,28.2102112998638,39.4133088442438,36.0379718199432,72.8832046730716,3.36027708921506,8.8465266005687
14929,2,ESCUELA ESPECIAL DE LENGUAJE KUMELEN,Particular Subvencionado,Urbano,5,55,5502,Calera,37,52.4466390951945,12,9,7,9,28.034126197223,40.540627325181,42.5815078410519,70.2521650250055,6.19175098025816,6.143823897866
14930,0,ESCUELA ESPECIAL DE LENGUAJE MANANTIAL,Particular Subvencionado,Urbano,5,55,5502,Calera,40,56.8493860633707,7,8,9,16,24.1288099493352,43.7833590639641,38.4296667543279,73.8253163152789,6.13697450692472,9.39434570184202
14931,4,ESCUELA ESP.DE LENGUAJE VOCES DEL VALLE,Particular Subvencionado,Urbano,5,53,5302,Calle Larga,54,50.5336805019181,3,1,2,1,26.643464962513,37.741784374403,24.7206724267862,74.9824918383088,23.1715375410808,0.0
14932,2,ESCUELA ESP.DE LENGUAJE CAICURA EPU,Particular Subvencionado,Urbano,5,57,5701,San Felipe,29,51.6518398827344,11,8,4,6,22.1245626226921,40.8209053942049,44.51037903966,64.9876584824304,10.165267275511,10.3448275862069
14933,0,ESC. ESP. DE LENG. CUMBRES DE ACONCAGUA,Particular Subvencionado,Urbano,5,57,5701,San Felipe,65,54.8110396841949,15,20,11,19,25.4821046256983,42.3121729144757,37.5039027558634,69.0886843916934,9.94024630674269,5.78113581651816
14934,9,ESC. ESPECIAL LENGUAJE MI PEQUEÑO MUNDO,Particular Subvencionado,Urbano,5,57,5703,Llayllay,23,55.0305618409326,5,6,5,7,18.6369708874299,39.6743962118432,31.6098820043917,71.3332198665402,20.5578129128737,11.9901664379861
14935,7,ESCUELA ESPECIAL DE LENGUAJE CARACOLITO,Particular Subvencionado,Urbano,5,55,5502,Calera,54,51.4223397315607,3,1,2,3,30.9650714021931,42.7513213869673,40.9818961094631,62.8400064989265,6.29837604952943,13.8029079918133
14937,3,ESCUELA ESPECIAL DE LENGUAJE ANTARES,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,51,48.394439233425,24,11,6,10,23.4816815485623,35.119503353511,34.6196679384656,73.0717592999931,6.45561151858673,3.92156862745098
14938,1,ESCUELA ESPECIAL DE LENGUAJE AITUE,Particular Subvencionado,Urbano,5,55,5502,Calera,54,44.7725754360615,1,0,0,0,28.2479986811393,34.6116493660976,22.6206781509362,63.38971850299,6.08123196922978,0.0
14941,1,ESCUELA ESPECIAL DE LENGUAJE CARIÑOSITOS,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,54,51.9686116215104,5,3,7,1,25.7498854698376,37.8475116205944,33.1649799286126,72.8433142525402,6.27982216930262,9.47172850921009
14944,6,ESCUELA ESPECIAL DE LENGUAJE TOMASITO,Particular Subvencionado,Urbano,5,51,5101,Valparaíso,62,55.9160964544109,5,18,27,12,22.8937262603181,44.0512418157817,38.2982968741298,72.9813450939376,5.09633290195285,5.67012348624776
14945,4,ESC. ESP. DE LENGUAJE CUMBRES DE ACONCAGUA,Particular Subvencionado,Urbano,5,53,5301,Los Andes,33,51.8622583384909,10,12,7,4,22.124335209695,38.4693267759007,33.4189027712084,73.2282183634061,10.3389582264728,12.2150094634764
14947,0,ESC.ESP.DE TRASTORNOS DE LENGUAJE NAHUEL,Particular Subvencionado,Urbano,5,58,5801,Quilpué,54,54.1275723276346,0,1,0,0,53.3885174868818,48.0832115822801,30.1725795755157,56.1370127772238,4.16701943774483,0.0
14949,7,ESCUELA ESPECIAL DE LENGUAJE CURIMON,Particular Subvencionado,Urbano,5,57,5701,San Felipe,47,58.0056631445533,6,6,19,16,42.3992863387022,50.6338027295883,54.9179125964595,75.7350436081117,10.015649635413,1.03090093303486
14950,0,JARDIN INFANTIL Y ESC. ESPECIAL DE LENG. SEMILLITA,Particular Subvencionado,Urbano,5,56,5603,Cartagena,30,55.7883992730439,4,8,10,8,26.3041894280538,45.061893124837,36.9919643645264,67.222219500629,15.1548704551096,10.8075390642106
14951,9,ESCUELA DE PARVULOS SERPENTINA,Particular Subvencionado,Urbano,5,54,5401,La Ligua,27,48.6180514024994,11,7,5,4,26.3183236189819,33.0844233354555,32.6791764873776,76.1357367196734,22.2337022258397,4.60096933060442
14953,5,COLEGIO PEUMAYÉN,Particular Subvencionado,Urbano,5,56,5603,Cartagena,58,52.4012353252859,18,12,23,5,23.7155467536055,39.5480050305281,39.0134247216445,67.6851403197308,15.4758363173581,4.28366110090756
14954,3,ESCUELA ESPECIAL DE LENGUAJE NUBECITAS,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,65,52.8414359507789,20,15,18,12,27.048657860262,40.265934535046,34.4429315750903,73.348864647796,6.44186642031331,4.61538461538461
14955,1,ESCUELA ESPECIAL DE LENGUAJE MI RESOL,Particular Subvencionado,Urbano,5,55,5501,Quillota,45,51.8416192130097,13,12,12,8,22.7247081679978,36.2458188589488,35.8886726584547,75.3573008869439,11.5786963663401,6.12830729052624
15501,2,COLEGIO PARTICULAR LUCILA GODOY ALCAYAGA,Particular Subvencionado,Urbano,6,63,6310,Santa Cruz,95,55.1389958253578,18,21,31,25,27.5222907858521,40.6811398174371,37.9938393176319,71.7134850984763,26.0697779224472,4.21052631578947
15502,0,INSTITUTO MONSENOR LECAROS,Particular Subvencionado,Urbano,6,61,6104,Coltauco,54,61.7773880574594,0,3,3,3,27.3330503472126,46.5665425221588,27.4714811477468,72.351415032302,29.0412959492127,0.0
15503,9,ESCUELA DUENDE MELODIA,Corporación Municipal,Urbano,6,61,6101,Rancagua,196,50.9395535334088,65,61,42,28,28.0537527141898,40.4272586475653,35.9118109835789,67.3698489869285,5.22645136359578,4.32883848904407
