ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto
7328,8,LICEO RAHUE,Municipal DAEM,Urbano,10,103,10301,Osorno,538,21.2587485735824,203,69,56,210
7329,6,LICEO ELEUTERIO RAMIREZ,Municipal DAEM,Urbano,10,103,10301,Osorno,1117,20.4946593464613,473,106,122,416
7331,8,INSTITUTO COMERCIAL DE OSORNO,Municipal DAEM,Urbano,10,103,10301,Osorno,1045,20.9008970755273,435,111,109,390
7388,1,COLEGIO SAN JOSE,Particular Subvencionado,Urbano,10,103,10301,Osorno,334,16.8152749495787,218,48,33,35
7401,2,COLEGIO SANTA MARTA,Particular Subvencionado,Urbano,10,103,10301,Osorno,340,16.2395211697638,231,39,25,45
7441,1,COLEGIO QUILACAHUIN,Particular Subvencionado,Rural,10,103,10307,San Pablo,104,18.3686298227521,58,10,12,24
7470,5,LICEO BICENTENARIO PEOPLE HELP PEOPLE DE PILMAIQUEN,Particular Subvencionado,Rural,10,103,10304,Puyehue,451,16.5353015797021,300,33,28,90
7505,1,LICEO BICENTENARIO TOMAS BURGOS,Municipal DAEM,Urbano,10,103,10303,Purranque,414,20.5688123588129,183,34,43,154
7536,1,COLEGIO PRECIOSA SANGRE,Particular Subvencionado,Urbano,10,103,10303,Purranque,354,18.8975849047157,181,36,45,92
7542,6,LICEO JOSE TORIBIO MEDINA,Municipal DAEM,Urbano,10,103,10305,Río Negro,232,20.1799733767004,112,29,26,65
7544,2,COLEGIO RIACHUELO,Municipal DAEM,Urbano,10,103,10305,Río Negro,119,19.6627206956415,62,14,8,35
7572,8,COLEGIO SAGRADA FAMILIA,Particular Subvencionado,Urbano,10,103,10305,Río Negro,166,15.9858288142215,121,21,14,10
7578,7,LICEO BICENTENARIO AGRICOLA `VISTA HERMOSA`,Administración Delegada (C. P. 3166),Urbano,10,103,10305,Río Negro,337,18.8645162103274,168,35,40,94
7614,7,COLEGIO TECNICO PROFESIONAL MISION SAN JUAN DE LA COSTA,Particular Subvencionado,Rural,10,103,10306,San Juan de la Costa,141,18.1276301186184,71,22,14,34
7625,2,LICEO INDUSTRIAL PUERTO MONTT,Municipal DAEM,Urbano,10,101,10101,Puerto Montt,484,24.0899161526205,155,51,51,227
7626,0,INSTITUTO COMERCIAL DE PUERTO MONTT,Municipal DAEM,Urbano,10,101,10101,Puerto Montt,698,23.4304252733241,258,52,65,323
7627,9,LICEO DE HOMBRES MANUEL MONTT,Municipal DAEM,Urbano,10,101,10101,Puerto Montt,711,22.6241787172373,243,74,56,338
7628,7,LICEO ISIDORA ZEGERS DE HUNEEUS,Municipal DAEM,Urbano,10,101,10101,Puerto Montt,407,21.4008200457074,186,38,27,156
7629,5,LICEO ANDRES BELLO,Municipal DAEM,Urbano,10,101,10101,Puerto Montt,702,22.5137915485747,291,67,64,280
