ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto
25829,6,COLEGIO PART. SAN ADRIAN DE QUILICURA,Particular Subvencionado,Urbano,13,131,13125,Quilicura,156,36.190907167211,144,6,5,1
25831,8,ESCUELA BASICA PARTICULAR CONTEMPORA,Particular Subvencionado,Urbano,13,131,13110,La Florida,37,37.1459357601429,35,1,0,1
25839,3,ESC. BAS. Y ESP. CELEI,Particular Subvencionado,Urbano,13,131,13117,Lo Prado,25,38.3682043927431,22,0,0,3
25843,1,COLEGIO PART. SAGRADO CORAZON DE TALAGANTE,Particular Subvencionado,Urbano,13,136,13601,Talagante,141,34.9234022500817,137,3,0,1
25845,8,ESCUELA PART. SAN MARCELO N_ 3,Particular Subvencionado,Urbano,13,131,13112,La Pintana,87,44.9119474772295,39,6,5,37
25850,4,COLEGIO DEL VALLE,Particular Subvencionado,Urbano,13,131,13119,Maipú,140,38.5904162871387,115,9,9,7
25851,2,ESC. PART. EL ARRAYAN DE MAIPU,Particular Subvencionado,Urbano,13,131,13119,Maipú,67,42.4160651973331,39,8,11,9
25853,9,COLEGIO POLIVALENTE NOVO HORIZONTE,Particular Subvencionado,Urbano,13,131,13125,Quilicura,84,44.5758521960161,43,4,7,30
25855,5,LICEO BICENTENARIO CHACABUCO,Corporación Municipal,Urbano,13,133,13301,Colina,348,36.8345860092125,318,14,8,8
25865,2,SAN IGNACIO COLLEGE,Particular Subvencionado,Urbano,13,134,13401,San Bernardo,128,42.1159029894458,78,11,14,25
25882,2,COLEGIO NOBEL GABRIELA MISTRAL,Particular Subvencionado,Urbano,13,134,13401,San Bernardo,177,40.4409106854958,126,13,17,21
25885,7,COLEGIO INTERCULTURAL TREMEMN,Particular Subvencionado,Urbano,13,131,13119,Maipú,156,38.2573125108512,122,19,4,11
25894,6,COLEGIO MANANTIAL DE SAN MIGUEL,Particular Subvencionado,Urbano,13,131,13130,San Miguel,56,35.9110170630118,55,0,0,1
25895,4,COLEGIO SANTIAGO DE PUDAHUEL,Particular Subvencionado,Urbano,13,131,13124,Pudahuel,178,39.4400385836572,141,14,16,7
25897,0,ESCUELA PART. INSTITUTO S.A,Particular Subvencionado,Urbano,13,131,13110,La Florida,47,41.4714474689098,32,7,4,4
25899,7,LICEO JOSE ABELARDO NUÑEZ Nº 4,Particular Subvencionado,Urbano,13,131,13107,Huechuraba,146,40.8884108057468,100,12,16,18
25901,2,ESC. EVANG. PENTECOSTAL DR. WILLIS C. HOOVER,Particular Subvencionado,Urbano,13,131,13122,Peñalolén,83,41.3074294509057,54,8,11,10
25914,4,ESCUELA PARTICULAR SUBVENCIONADA SAN JORGE DE COLINA,Particular Subvencionado,Urbano,13,133,13301,Colina,28,35.342947727186,27,0,0,1
25916,0,ESCUELA BAS. SAN SEBASTIAN DE COLINA,Particular Subvencionado,Urbano,13,133,13301,Colina,151,41.1085192037468,91,14,24,22
25919,5,ESCUELA BASICA NEHUEN,Particular Subvencionado,Urbano,13,136,13601,Talagante,74,38.4525689850755,62,4,4,4
25921,7,COLEGIO CENTRO EDUCACIONAL ROUSSEAU,Particular Subvencionado,Urbano,13,131,13119,Maipú,88,41.4510216146822,60,9,10,9
25922,5,COLEGIO TERRA AUSTRALIS,Particular Subvencionado,Urbano,13,131,13124,Pudahuel,203,38.640294327888,175,15,7,6
25926,8,COLEGIO POLIV. JERUSALEN DE LAMPA,Particular Subvencionado,Urbano,13,133,13302,Lampa,274,41.8395624690471,168,32,27,47
25927,6,ESCUELA BASICA TERRA DI BIMBI,Particular Subvencionado,Urbano,13,136,13605,Peñaflor,50,34.8068593132368,45,1,1,3
25929,2,COLEGIO PADRE PEDRO ARRUPE SAGRADA FAMILIA,Particular Subvencionado,Urbano,13,131,13125,Quilicura,153,41.5410084023053,88,24,18,23
25933,0,ESCUELA BASICA ALBORADA SCHOOL,Particular Subvencionado,Urbano,13,136,13605,Peñaflor,59,38.9681706148581,48,5,5,1
25936,5,COLEGIO NUEVO HORIZONTE DE PUENTE ALTO,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,107,44.5493584114159,46,10,12,39
25941,1,ESCUELA PART. SPRING COLLEGE N_ 2,Particular Subvencionado,Urbano,13,131,13130,San Miguel,44,37.6415849938536,37,1,1,5
25944,6,ESCUELA PART. PARTHENON COLLEGE,Particular Subvencionado,Urbano,13,136,13605,Peñaflor,71,37.1278092381853,61,5,4,1
25954,3,ESC. BAS. Y ESP. NTRA. SRA. DE LAS NIEVES,Particular Subvencionado,Urbano,13,134,13401,San Bernardo,86,39.825850321411,67,6,6,7
25959,4,ESC. ESPECIAL HOSPITAL SAN JUAN DE DIOS,Particular Subvencionado,Urbano,13,131,13101,Santiago,96,37.3832507959358,5,0,0,1
25960,8,CENTRO EDUC. PADRE ALBERTO HURTADO DE SAN BER,Servicio Local de Educación(SLE),Urbano,13,134,13401,San Bernardo,176,42.0367143719767,107,18,15,36
25961,6,COLEGIO PALMARES,Particular Subvencionado,Urbano,13,131,13125,Quilicura,280,40.8064506453806,181,31,32,36
25969,1,COLEGIO TERCER MILENIO,Particular Subvencionado,Urbano,13,131,13125,Quilicura,359,39.1941966664393,281,28,23,27
25976,4,ESC. BASICA Nº 136 SAN SEBASTIAN DE PAINE,Particular Subvencionado,Urbano,13,134,13404,Paine,81,41.2776010484688,59,8,8,6
25984,5,COLEGIO DREYSE BELSER,Particular Subvencionado,Urbano,13,136,13605,Peñaflor,59,36.8780812500212,52,5,1,1
25988,8,COLEGIO JUAN LUIS UNDURRAGA ANINAT,Particular Subvencionado,Urbano,13,131,13125,Quilicura,245,42.0765185888966,145,22,31,47
25991,8,ESCUELA BAS. AMANKAY DE LAMPA,Particular Subvencionado,Urbano,13,133,13302,Lampa,67,38.2575885886655,60,0,5,2
25999,3,COLEGIO ALICANTE DEL SOL,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,479,37.7184072895616,426,23,17,13
26001,0,COLEGIO ALICANTE DE LA FLORIDA,Particular Subvencionado,Urbano,13,131,13110,La Florida,244,34.8394146829791,232,4,2,6
26006,1,COLEGIO ECOLOGICO PAINE,Particular Subvencionado,Urbano,13,134,13404,Paine,104,38.5977715028108,84,6,8,6
26012,6,COLEGIO BICENTENARIO MODERNO PAINE,Particular Subvencionado,Urbano,13,134,13404,Paine,172,42.4468015332122,104,18,14,36
26017,7,ESCUELA BAS. KINGS SCHOOL,Particular Subvencionado,Urbano,13,134,13401,San Bernardo,90,36.2994387738016,86,3,0,1
26025,8,COLEGIO SANTA BARBARA COLLEGE,Particular Subvencionado,Urbano,13,131,13105,El Bosque,87,35.3126905003012,83,2,2,0
26033,9,COLEGIO  SAN CARLOS DE QUILICURA,Particular Subvencionado,Urbano,13,131,13125,Quilicura,265,38.3476835686919,226,20,16,3
